ENTPID,ITEMID,ITEMLL,FRNID,FRNLL,RAYID,CIRCUITLL,MNFID,LOCID,SUM(NBPRISEPREP)
970,7627112,LOT SERV ET DB       650,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,143,2
970,7629183,HC 240 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,885,2
970,7627112,LOT SERV ET DB       650,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,236,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,2843,1
970,7627154,DDB LITEAU CHAIN     810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,758,1
970,7629154,TC UNIE              551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1350,2
970,7627148,2GANTS LITEAU CHAIN  810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,18,1
970,7629221,DH 160 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1900,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,369,1
970,7629206,DH 90 UNI            551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,4,1
970,7629214,DH 140 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,889,1
970,7629206,DH 90 UNI            551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,314,1
970,7627148,2GANTS LITEAU CHAIN  810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,1235,1
970,7629195,DP UNI               691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,751,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,388,1
970,7629156,TC UNIE              552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,848,2
970,7627962,COUETTE CO MICRO220  691,110629,ABEIL SAS,50,BLANP 15/12,16422,113,1
970,7627096,MAXI DB UNI          700,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,166,1
970,7629156,TC UNIE              552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,36,3
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1202,2
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,900,2
970,7629183,HC 240 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1231,1
970,7629206,DH 90 UNI            551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,801,2
970,5121475,COUETTE ANTHRAC 220  990,110629,ABEIL SAS,50,BLANP 15/12,16422,962,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,189,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,187,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,236,1
