ENTPID,ITEMID,ITEMLL,FRNID,FRNLL,RAYID,CIRCUITLL,MNFID,LOCID,SUM(NBPRISEPREP)
970,7627241,LOT240 PALMI PRUSSIE 551,12449,MPX IMPORT,50,BLANP 15/12,16422,958,1
970,7627794,PLAID DOUDOU CORAL   701,12449,MPX IMPORT,50,BLANP 15/12,16422,803,1
970,7629154,TC UNIE              551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,183,3
970,7627148,2GANTS LITEAU CHAIN  810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,2609,2
970,7629156,TC UNIE              552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,883,4
970,7629156,TC UNIE              552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,841,3
970,7627962,COUETTE CO MICRO220  691,110629,ABEIL SAS,50,BLANP 15/12,16422,909,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1158,1
970,5120055,SERV 0 TWIST BLANC   B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,35,1
970,5120913,DB 0 TWIST BLANC     B00,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,398,1
970,5200366,50ASS.BLANCHE 18CM CARTON MPX,103869,CO.DI.MA SARL,68,BLANP 15/12,16356,958,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,211,1
970,7628314,COUETTE 140  MICRO   B00,110629,ABEIL SAS,50,BLANP 15/12,16422,1026,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,822,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1238,1
